Emotion,Text
joy,"She was really pleased when she came back and found him fighting fit , even though he was still using one wing as a crutch to support his crooked leg . "
neutral, Try me . 
sadness,5 minutes till pizza express pizza is cooked 
sadness,"If I said I nothing, I'd be a lying. I'm deathly afraid of grown, straight men with uncomfortably high voices. #WhyDoYouSoundLikeThat"
neutral, Bye . 
joy,Hear a very nice joke made by a friend.
sadness,Not being able to do well to be chosen for the English lecture.
joy, We should come here more often . 
sadness,"If someone mentions things like ration books , powdered egg , air raids and so on , my stomach turns over and I feel quite depressed . "
neutral, What scene ? 
joy,When i was asked to be a child's godmother.
sadness, I was told my girlfriend was speaking ill of me . It's a real letdown . 
neutral, Not at all . The feedback from audience has been great . I care about what they think more than what the critics think . 
sadness,"Some individuals become excessively nervous about visiting the vet , for example , and it is a good idea to begin visits early in the dog 's life . "
neutral, Who ? 
joy,After I saw my family and good friends back after staying one year in a foreign country. 
joy,"Cycling in the spring sunshine gives me such delight.  Happiness is to be healthy, my wonderful finance.  Simply being here on earth."
anger,"I've something very unpleasant to talk with you . Upon the arrival of the first consignment , it was found that about 50 % of the sixty cases of pineapples were leaking . "
neutral,Here's the restaurant we're meeting the Smiths at . 
neutral, Okay . 
joy,He broke off as Jim Miller let go a Indian whoop of relief and delighted grins spread across the faces of everyone in the group . 
neutral," Oh , yes . "
anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing."
anger,Finding out that I was deceived by a friend.
anger,"The king was furious at being tricked again , and by nothing more than a pair of animals , at that . "
sadness,@YesIamQuESt would it offend you if when I listen to otFailure (the song) I'm thinking about girls?
anger, Fine . Let's call a truce . I'll try to more considerate and to keep the noise down . 
sadness,I felt sad when my dear friend was needed from training school due to his failure in a number of subjects and simply didn't know what he had to do.
neutral," No , how much is it worth ? "
neutral, How ? 
sadness, I was told my girlfriend was speaking ill of me . That ’ s a real let-down . 
sadness,My old teacher in primary school died.
joy," Yeah , I heard it's going to be a lot of fun . "
anger,"One day I had an appointment with my boyfriend which I had objected to in the begining, however he visited me and convinced me to come.  The day of the appointment; I had to wait for him for over an hour."
neutral, What ? 
anger,"Blake looked at the exasperated face of the Doctor , '  but this computer can predict what I 'm going to do . "
anger,I was walking on a street alone in the afternoon when there were not too many people on the street.  A couple of guys were following me and I was ignoring them.  Suddenly one of them came in front of me and started using dirty language and harrassing me.  I got very angry and wanted to strike back at them.
joy," They are . And not only that the people are friendly , but also the food is delicious , not to mention cheap . "
neutral, Why not ? 
joy,When my brother was born.
anger,"Angry at being separated from Jeanne , Modigliani spent much of his time drinking in a windowless little bar where local artists met , where he drank and ran up debts . "
anger, Jennifer Davies ? Give me a break ! I can't stand her . She's such a dweeb ! How could she possibly ace it when she keeps cutting class all the time ? 
sadness,I got to know about the death of a close friend.
anger, I can ’ t believe this ! Why are all these things happening to me ! I can ’ t take it anymore ! Let me out of the car ! 
neutral, I got it . 
anger,When I was accused of something I had not done.
joy,At the same time they could become excited about house matches or school matches and take part in such events with earnest aggressiveness . 
neutral, I like playing chess . 
sadness," Oh , I'm sorry . "
anger,I was very hungry and just wanted to start eating when a friend called me who usually talks for a long time. I was angry because I was prevented from eating.
neutral, He had a lot of nerve telling us our ads sucked . 
sadness, But she did and made me disappointed . 
joy,Maggie felt an odd excitement stirring inside . 
anger,I was in love with a very beautiful girl and when I went back for my holidays I found her wth another guy who she said was just a friend.  Later I found them together and was convinced that there was something fishy.
anger,I don't know what to do about the people who live in the flat above me ! 
sadness,When my girlfriend told me that she wanted to leave me.
neutral, Why ? 
anger," This ref needs glasses . Hey ref , open your eyes ! I can ’ t believe he didn ’ t see that ! "
anger,Lenin was furious when he learned about it . 
sadness,My friend started to misunderstand and hurt me. 
anger, They sure did . 
neutral," OK , OK . I'll whisper it to you , but you have to promise not to tell anyone ! "
joy,"On my 18th birthday I passed the driving-test. I was glad because I had had to study very much, because I had been lucky and because - as a proof that it was really difficult - not everybody had passed the test."
sadness,When I dreamt that my family was in trouble and was facing many difficulties.
neutral, That's all right . But why were you so rude to me at lunch . 
joy, Good.Let ' s go now . 
neutral, Details ? 
neutral, You will . 
joy,"When I was back home after a long time, meeting beloved people and close friends."
anger,"Not everybody wants   and trailed into silence , for Lily 's eyelids were now fluttering , holding back offended tears . "
neutral, Dark blue . 
joy,"Modigliani , delighted with the atmosphere of warmth and sincerity , resumed his friendship with Soutine and her . "
joy,When I saw my family after a separation of one year.
joy,When I heard that I had got the best result in school and would be definately selected to the university of Zambia.
anger," I don't need your help , jerk . "
sadness,"When I have to leave the baby in the carriage and go shopping, I fear that something will happen to the baby."
sadness,"So my @OfficialPWG pic flood will start in 5 minutes. If you don't like wrestling or a fan of my photography,  you were warned"
neutral, Thank you . 
joy,When I realized that I loved someone of the opposite sex.
joy,"All during the night , over and over again , she had found it absurd that she 'd ever considered herself a happy woman . "
neutral," I'm not sure , he is a manager I think . "
joy,"Riding home from school after completing two midterms in two days, and feeling I did well on them."
neutral, I will . 
sadness,"I lived in a flat with a couple. The woman was so jealous of me, that she sometimes had crying fits. Eventually her husband could not stand that any more and wanted to kill me."
joy,"However , in 1878 , deaf education in Greenock faced a crisis because there was no-one able to continue to teach the children , and one parent was not happy about his child being taught in sign language . "
sadness,I was alone at home on New Year's Eve.
sadness,` I am desperately sad that our scheme did not come to fruition but I am glad that someone will take it over and bring these jobs to the area . 
sadness,When I failed my Standard 8 Examination for the first time.
anger, I've been with this firm for 26 years and I'd hate to see it go down the drain due to poor leadership skills . 
joy,Getting into this university to do medicine.
anger,` There is exasperation that it is taking so long . 
sadness," Let me see ... I'm sorry , but we don't have any more non-smoking rooms.We won't charge you for your room tonight . "
neutral, Then ... 
neutral, OK . 
neutral, Positive 。 
sadness,"Gloom , on the other hand , sees a noisy , grimy city with crowded underground stations , overpriced restaurants , jostling strangers and mournful faces . "
joy,As an evening class teacher I got positive feedback.  When the atmosphere is good and a kind of relaxed understanding exists.
joy,Naturally when I got myself discharged this was my second birthday.
anger,"Anger I felt when my boyfriend told me he didn't mind breaking it off with me, i.e. each of us to take his own road. Because until that moment, he deliberately restricted our dates. The motives were brought to my knowledge later."
anger,With the girl whom I may be loved truly. When she refused to come with me to an occasion (she was from another town).
sadness,I feared that I would not be able to hand in the book-report on time as I had started working very late.  The book was difficult to read and my teacher did not accept my work as it was handed in late.
anger,"We hitch hiked our way back from a town rather drunk.  We were dropped in another town which was unknown to us.  I needed to urinate, so I did it on a wall which turned out to belong to the military headquarters.  They arrested me and made me pay a fine of 500 pts.  We had to go home on foot (6 km) since it was too late for anyone to give us a lift."
anger,A very close friend of mine was refused entrance to the medical school.  Her grades were very good and she should not have been left out.  Biased judgment !
anger, Leave me alone ! 
joy,When I was admitted to a Language school. On the day when I was informed by a message and my parents congratulated me.
joy,I am joyfull to be alive every night.
anger, You only say that because you don't have to work with him.The people in your department seem so capable and nice to be around.Take Mary for example.She ' s smart and enthusiastic . I've never met anyone as cheery as she is . 
sadness, Steven ! What ’ s going on ! Who were those guys ? I didn ’ t know you have a gun ! What ’ s going on ! 
joy,"Delighted to be taken for another ride in another car , the little boy chuckled . "
sadness, I've searched everywhere . Where on earth did I put it ? 
neutral, I agree . Are there any commercials on the TV ? 
joy," Yeah , it reminds you why they say baseball is America ’ s favorite pastime . "
anger, I can't stand riding the bus . 
anger,That a friend had been badly beaten and stabbed many times and the person that did it got away without any punishment from the law.
neutral, Many ! 
joy,When  fell in love with my present girlfriend.
joy,When my boyfriend and I made up.
neutral, All right . 
joy,I was very pleased and happy when my older sister came home from living somewhere out of town and I hadn't seen her for months. We are very close sisters.
joy, Yes . I like cooking very much . I got this hobby when I was 12 years sold . 
neutral," I am not sure about the name of the film , but I know it's a romantic one . "
sadness,Vertigo - standing on a ladder and painting the house.
neutral, I promise . 
joy,When I won some coins in a small competion.
anger,I simply couldn ’ t help giving him the fish-eye when I knew all that . 
anger,I have to talk to you ! 
anger," Yes , that was probably it ! It isn't fair . "
joy,An invitation to spend 5 days at the seaside with all expenses paid.
neutral, How are you feeling ?
neutral, The Rockets . 
neutral, What is it ? 
anger,When I got the feeling that I had to do all the housekeeping while my boyfriend didn't do anything. This happened in a period of exams when I had to study very hard.
joy,When I met again a great friend and talked a little while with him. When I see again another I miss.
joy,"` We are delighted to help the museum extend its collection , "" said Mr Watson . "
sadness,A neighbour's girl had disappeared and many people were looking for her.  Someone had gone to notify the police.  Something had certainly happened to her.
anger,"In a very important basket-ball match where a lot was at stake, I played very badly."
sadness, Umm . I think my water just broke ! Get me to a hospital ! 
sadness,My sister won a scholarship to Norway and it was particularly as she walked across the tarmac to get on the plane and she looked back at us.
joy,"I have explained to pupils that I do not know ` the answer "" and so I can share the excitement of working out a problem with them . "
joy,"` How pleased your uncle will be , "" said Finn , loitering for hot shaving water . "
anger,I was in the library of medical psychology and walked into the wrong direction. A man who came out of a room threated me very denigrating and I became very angry in a resisting manner.
neutral, Yes . 
joy,"Audiences were thrilled , box office cash registers jingled and careers were made . "
joy,I received an unexpected letter from a friend I had met a short time before.  He sent me a poem and wished me good luck.  I felt very happy because I had great esteem for that person.
joy," Sounds good , when ? "
anger, My car won ’ t start ! Stupid old car ! 
joy,"Nick , it's very nice of you to see me off . "
joy,"Henry Tyler would not have described her as a happy woman , but afterward he could not say that she had seemed at all unwell . "
neutral," I want to have a picnic with my friends , Mum . "
anger," Great , because I am really mad at William . I mean , what kind of an idiot wouldn't be able to appreciate a smart , beautiful woman like me ? Anybody who would be friends with that guy has to be really dumb . "
anger, Are you done ? 
sadness,"I was alone at home and I could hear odd noises coming from above our bedroom.  I knew that nobody lived there since it was an office.  I got frightened (later I was given a \natural\"" explanation)."""
neutral," Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job ! "
sadness,His poor scrawny hands grip the arms of a wheelchair pushed by his adoring wife with the now familiar expression of a too-bright smile and devastated eyes . 
sadness,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover."
joy,I had a little cat which was very sick. As I liked it very much I went to a veterinary with it. He told me how to tend it and it really recovered its health. Everybody said that I had saved its life.
joy,When my 6 month old son is happy and well.
neutral, First we will go to the city centre and stop for something to drink . Then we will visit the University Museum . 
neutral, Haven't you heard that he is in prison ? 
joy,The weather in Beijing is just beautiful ! 
anger, I envy her and also I hate her at the same time . 
neutral, Yes . 
sadness,Now she was mad with grief . 
neutral, Why not ? 
sadness, I just remembered that I've got to give a speech in class today and I forgot to prepare for it . 
sadness,When I am with a friend and we have to leave each other.
sadness,When I entered the dissecting room for the anatomy class and saw several dead bodies lying on the benches.
joy, Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call . 
neutral, No . 
anger,The editor changed the heading of an article that I had written.  He considered the heading to be derogatory towards the person I had written about.
anger, Are you sure you're finished ? 
sadness,EVERYDAY IS A GAME CALL IT FACTOR
neutral, Not really . Very few people get married beforethe age of 20 . 
joy,` After each Test there was never any great sense of elation but rather that a step towards the ultimate goal was taken . 
neutral, Dream on ! 
anger,When my wife told me that the refrigerator had stopped working.
joy," Sure , I'll give you a call . "
sadness,"The person whom I liked most left me for a friend of mine, after several months of mutual help and a profound knowledge of each other."
sadness,When I found out that my father had lung cancer and they did not know how long he would live.
joy,"Susan , I am inviting you and Frank to our house warming party this weekend . "
joy, Right . 
joy,When my one year old son gives me a spontaneous kiss.
neutral, nothing 
neutral," Don't worry , you'll find a way . "
anger,I locked myself out.
anger,I was angry at the Cafeteria when the cook scolded and said many bad things about me without reason. He thought I was among the girls who did him wrong.
joy,"On our way to France, my girlfriend and I went to Verona. By chance we met an Italian couple - they gave us two tickets for the dress-rehearsal of \Aida\"". It was a different world for us full of fascination. After the representation we ate a phantastic pizza in a restaurant near the \""Arena\""."""
neutral, I'm very sorry I can't . 
joy,"I was very glad when I learned I was a student already. I heard about it over the phone, I didn't believe it at first."
sadness,"There is too much busyness in schools , staff need ` dream time "" too and also the security to try out ideas without becoming nervous about making mistakes or being afraid of failing . "
sadness,"Not unexpectedly , the residents of Chiswick became alarmed at the prospect , but the acquisition proceeded of the properties on the proposed route . "
anger,"I am spell-bound by the sound of French , infuriated when I can't read it in the books I am given . "
sadness," I can ’ t go through with this ! I just can ’ t ! I ’ m not ready for marriage ! What was I thinking ? I ’ m only thirty five years old ! I ’ Ve got my entire life ahead of me , adventures waiting ! I can ’ t settle down yet ! "
anger, I'm sick of doing other people's job and getting blamed for not doing it right . 
neutral, Yes . 
anger,"The staunchly pro-monarchist Daily Telegraph said BBC chairman Marmaduke Hussey , whose wife is a lady-in-waiting to Queen Elizabeth II , is miffed that no one told him about the interview ."
sadness,"At night, I walk home past a forest.  Once, somebody got stabbed in the forest.  I imagine someone attacking me and I hurry up."
sadness,The sudden death of one of my parents.
joy,` His gratification was almost unbounded when on arriving at the Belts of the Murray he found not only numerous new Species but new forms of Birds . 
sadness,@OfficialPWG was an AMAZING show. Thnx @JoeyRyanOnline @KILLSTEENKILL @daveyrichards83 @theChrisHero and everyone else 4 a great show!
neutral,"Hi , Jason ! "
joy,"When, after a long time of searching I got my first job."
anger,We are repainting rooms in my house. My mother started to enact plans to paint my room without consulting me.
neutral," I had the same feeling when I first came to work here . but after a period of time , I feel better , I am sure you ' ll get used to this busy job . "
sadness,"He had understood James 's despair at the enormity of the ruin , but not what the loss of Edward was already meaning . "
anger,Deliberately provoked by someone close. Angered by the deliberation not the provocation.
joy,"I felt happy at the end of a 10 day student camp.  We had shared our hopes and aspirations and in the open situation so generated, we had made strong frienships and experienced our own worth as well.  "
sadness,and terror only brings more violence and war. war only dehumanizes EVERYONE. times like these *need* dissent. #ows #occupy
neutral, The other class is on Monday and Wednesday from 10 am - 12 . 
anger,Anger towards my lover for being late.
neutral, Let's go in to wait for them . 
neutral, No.Why ? 
anger,"Disagreements with mother.  When I moved from KankaanpSS, she had promised to help me move but broke her promise because of some hindrance. "
sadness, There will be a parents ' meeting in our class this Saturday and I am worried about it . 
joy,I was doing an experiment and was not getting the appropriate result despite the fact that I had repeated the procedure 4-5 times.  Then finally I got it right by a stroke of luck.
sadness," I know you don't hear me right know , please calm down . Anyway , I don't wanna part . I'll drop by tomorrow . "
joy,Lennox has always truly wanted to fight for the world title and was happy taking the tough route . 
joy,A close married friend has just had his first child.
joy,I felt very happy when I was accepted at university for my studies.  I had not expected this as I had been ill during the exams.
sadness,"remember: if you serve pork today and you see one of your friends/family avoid it, they're probably muslim terrorists. report them! "
neutral, I sure did ! 
neutral, What is it ? 
neutral, So ? 
neutral, Why ? 
neutral, OK . 
joy,When I was told that I had passed the exams.
neutral, For me ? 
sadness,"Oh , my god . What happened ? Are we dying ? "
sadness,"Dad , I'm scared . "
sadness,After an exam which I failed.
joy,When we took out an 84 year old woman for the evening and had hamburgers. She described the evening out as her happiest night out in 20 years.
joy,"Receiving a very personal letter from a lady that I like, which revealed that she was more enthusiastic about me than I had thought possible."
joy," Wow , that does sound like it's going to be fun . "
neutral, Great . 
joy,"My Lord Mayor , I 'm delighted to have this opportunity to debate the Government 's health reforms again . "
sadness,Before one of my final exams of the third year - natural sciences.
joy," Well thank you ! In that case , I am 26 years old , and what about yourself ? "
sadness, Sorry . You have to buy your ticket at the next counter . 
sadness,I felt sad at having to leave my girlfriend after constant problems and failed attempts at reconciliation.  My sadness was caused by the irreversibility of the decision.
sadness," Unfortunately , I missed a chance to see a classic movie . "
anger, It's my pleasure to talk with you . 
neutral, How come ? 
anger,When I discovered that the people I trusted most were talking behind my back.
sadness,"After a meeting ended we started talking about when we would have the next discussion ( I had many tests the coming week and could not have a meeting in between, I thought that they would understand this as they had always done).  They did not understand my problem and thought that I should not have so many other activities.  Their reaction made me burst into tears."
joy," Thank you , I just tried my best . I am very happy to know you like it . "
sadness,"I used to stutter a lot in those days , I was a very frightened boy . "
sadness,The Cloud just asked me lotza personal questions re: myself. Been avoiding upgrades awhile due 2this  #CylonTakeover #fb
sadness, Wait a minute . I am really sorry but I can't find it now . 
joy, Classic . Something that could calm your mind . 
sadness,"His horrified mother made a public appeal for the return of the ring , given to her by husband Alfed 18-years ago . "
joy,"A meeting with the family and the friends I felt dear and loved, sharing the gladness of being together at a birthday."
sadness,"I was very sad when I did not get admission in the English college, as I had 1% less marks than they wanted."
joy,When India won the Prudential cup by beating West-Indies in the final match and became the world cricket champion.  West-Indies was the strongest of the eight countries which participated in the competition.
sadness,"In May 18th, 1984 my boyfriend went to the U.S.A. In December I was told he passed away. He had cancer of the Oesophagus."
neutral," Margaret really told me off when she found out that I had forgotten all about it . We did try to phone you , but you and Jane must have gone out . "
joy,When I gave birth to a healthy boy.
neutral, What ’ s the score ? 
neutral, No problem . 
sadness, I'm sorry I've already gone through my paycheck for the week . 
joy,"As the programme of meetings rolled on , sometimes with many presentations on the same day , Horsley was exhilarated , amazed and excited . "
neutral, 500 pieces . 
sadness,"The shooting started and we all lay down to protect ourselves from the flying bullets.  This incident occured on our way to Feira, during the Zambia army patrols in the Rhodesia war."
joy,"Perhaps only she knows the journey he has made , from the cocky Jack-the-lad who neglected the discipline of academic study for the raw excitement of Left-wing politics to the measured politician with an answer for everyone . "
sadness,I felt sad and depressed when I heard that our cat had died.
sadness,And -- though the heartbreak of her troubled marriage still haunts her -- she raised a grin as Prince Harry waved from their car in London . 
neutral, Fine . 
joy,Got through first semester University.
neutral,"Hi , Walter ! "
anger," Well , he made quite a few mistakes on the monthly report and when his supervisor found them , my manager blamed them on me ! "
sadness,I'm worried sick that she might leave me one day . 
joy,When I was successful at my work I was full of joy.
neutral, And next ? 
anger,My boy-friend had promised me to come home at about 10 p.m. He did not return until midnight and had consumed a lot of alcohol.
joy," Yeah , oh my god ! It's still there . We have our first date right on there . "
anger," Yes , but I bet $ 200 dollars on the Cougars ! "
neutral, It's OK . 
neutral, I guess so . 
anger,"Topaz was indignant , some of her fear dissipating . "
anger,"When I was doing research a few months ago, I had asked the Institute to sponsor me for a computer course which was held in TISS.  However, because of the administrative officer I could not get the money."
neutral, maybe he is busy with his work . Just wait and try not to think about it too much ! 
sadness, I'm afraid I can only rent it for two months . 
sadness,Recent break-up with my girlfriend. We had been together for over a year. I was overseas and discovered over the phone (while I was at work).
joy,When my daughter was born.
neutral, absolutely . 
neutral,Tell me something about yourself
neutral,Why are you shivering ? 
anger, You can't prick the fish to please the sick tastes of some bloody people . 
anger,When I had been obviously unjustly treated and had no possibility of elucidating this.
anger, That ’ s so unfair ! 
neutral, Thank you . 
sadness,"When your back from a busy day, didnt get to watch the match and than realize I hope I recorded  :| "
neutral, Not bad . 
anger,"De Gaulle was incensed , ordered Massu 's recall to Paris , and , against the advice of several senior advisers , insisted that Massu should not be permitted to return to his command . "
neutral, Yeah . 
neutral, Right ! 
anger,Going to Cowell Hospital and finding out tediously that I had a stress fracture. The anger came when the senile doctors found out 4 weeks later that I had 2 stress fractures in one foot and should have had crutches. I was in distinct pain and barely could walk to classes. They said it would be better in 2 weeks.
joy,"When I saw a friend of mine, whom I had not seen for a long time and I had lost his address and telephone number."
sadness,I felt sad when my boyfriend and I were apart for some time.
anger, Curse this oven ! Curse it ! 
sadness," Oh , my god . "
joy,"When I got through the examination for my driver licence, and when I finished I knew I had passed it."
anger,"The onlookers at first thought this accident was part of the show and were creased with laughter , making the poor man even more irate . "
joy,I received a letter from a friend whom I was missing
sadness,He sounded quite sad about it . 
neutral, Of course . 
sadness,Big thanks to @JoeyRyanOnline for the picture. Made my night 
neutral, Fine . 
sadness,David coped with his grief by trying to save other youngsters from solvent abuse . 
anger,Have you ever felt so angry about men that you 've been moved to write a song about it ? 
neutral, I am not sure . We will ask for directions in the coffee shop . 
neutral, I was thinking about it . Are you ? 
joy,What a nice tie you are wearing ! 
sadness, I sometimes find the shadow of death in front of me . 
joy,How do you like the pizza here ? 
sadness,"When Tina and the children moved into the School , Cecilia felt both dismay and guilty relief . "
anger,"A certain person started to say dreadful things very calmly, I felt hurt and disgusted."
neutral, Wow . 
sadness,I once felt that my last hour had come when I was unexpectedly found in the hands of.
anger, I haven't even told you what it is yet ! 
joy," Oh , yes . Beautiful . "
joy,When I succeded in establishing a contact with a girl (who is now my girlfriend).
neutral, For example ? 
joy,I felt joy when I was admitted to the Higher Agricultural Institute.
sadness,I felt sad when I heard that my girlfriend was double-crossing me with the boy who is my best friend.
neutral, I will be hanged if I lying . 
neutral, That's all . 
joy," Oh , I love the roof tiles on Spanish style houses . "
anger,A friend called me and told me that she wanted to come and see me. She lived in a village at 50 km distance fom my home town. Next morning I expected her but she didn't arrive. As I got impatient I called her but her parents told me that she had gone skiing. I was very angry because I had cancelled an appointment to be able to see her.
joy,When my friend told me that he would come and meet me in a moment.
sadness,Sven Hjerson 's lugubrious face lit up in a brief smile . 
anger,She began to feel exasperated . 
neutral, Jog ? 
neutral, Yeah . 
joy, I do like Thai food . Did you see much of Bangkok ? 
sadness," Not a problem , sir . Please remember us in the future . "
sadness, Of course not . I knew she had fallen in love with another guy . It is difficult to see her move on so quickly . 
joy,It was the first time I met him (my boyfriend Mr.W).  It was during the first term Summer vacations.  We met each other while handing in our homework.  He invited me have a trip with him and we were together till 8 P.M.
neutral, Yes . 
anger," Where have you been , Alice , you're over an hour late . "
sadness,Doing anatomy alone for the first time.
joy,When I saw a person I had not seen for a long time.
anger, I don't find this fair . 
sadness," Sorry , Sally , it's not your fault . "
anger,I was drawn up a statement for an infringement of the traffic ordinance. In fact I was innocent.
neutral,After you . 
neutral, Thanks . 
neutral, OK . 
neutral, Good . 
sadness,I was told that a friend of mine was going to Mexico for good.
neutral, OK . 
neutral, I will . 
neutral, Poor girl ! 
anger,People hunting animals.
anger,This situation keeps occurring - when my little sister disagrees with me or vice-versa. We have very similar temperaments and I always end up feeling angry at her and myself for fighting so much over unimportant trivial matters.
neutral, Are your free this weekend ? 
sadness,"But the blank horror over Khmer Rouge atrocities between 1975 and 1978 has created a blind spot about its strength in Cambodia , and the growing likelihood that it will return to power , either on its own or with the other Cambodian opposition factions . "
sadness,After having taken an exam i feared having failed it.
sadness, But she means a lot to me . 
neutral, Yes . 
sadness,"When I went home alone early in the morning, I had to go through a wood."
sadness,"When my father passed away in 1978.  I was left alone with my mother who was very sick so I had to go and live with my aunt, who is very short tempered, till my mother was discharged from the hospital."
anger,When I quarelled with my parents.
neutral," Oh , I see . "
joy, Yes . I ’ Ve won the first prize in the math contest . 
anger, I'm going out anyway . Get out of my way . 
neutral," Me , too , I can ’ t stop scratching . They are everywhere ! Sneaky little jerks . "
sadness,"Since the war the CIA has been very alarmed at some of the left-wing British governments , many of whose politicians it regards as friends of Moscow . "
joy,When I learned I was admitted to study what I wanted most - floriculture (this is a narrow specialization from the general one).
joy, The black ball has to be the final ball in the pockets . 
joy,I am a school teacher. At a teacher-parent meeting I received a good deal of positive feed-back on my work both from the parents and through them from the pupils.
sadness,My father had been drinking and I feared him when we went to bed at night.
anger,When our cat was killed in a car-accident I was very angry at the driver of the car because he didn't take enough care.
joy,"But when he stepped up on to the conductor 's rostrum for the opening production of a new season , he was -- every time -- filled with a sense of sheer elation . "
anger,When my dress was stolen.
anger, It's a brick ! I can't believe how stupid I was . Damn it ! 
neutral," It ’ s very simple . Men shake hands , women and children don ’ t . "
neutral, Yes . 
sadness,I don't like sharing my feelings Im scared you'll run if I admit something. 
neutral, So what ? 
sadness,I was afraid that I would fail an examination.
neutral,Anyone home ? Jen ! 
joy,After 10 days of hard work and having suffered many changes I passed my last exam.
neutral, Kobe . 
anger,When my mother treats me as a 10-year old boy.
sadness,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people."
neutral, See you . 
neutral, What ? 
sadness,I found myself involved in a fight in which a person died and I had to intervene with some risk.
anger,Michael Stein was trying unsuccessfully to calm an irate customer who was arguing about his bill . 
joy, It's time I left . 
anger, What did you think you were doing ? 
anger,"A person ignored my advice, did not pay any attention to what was saying. She acted as though I wasn't even there. We were doing group work so everybody had the right to speak yet she just ignored me. She made me feel insignificant."
sadness,When I slept for the first time all alone in the house where I live now. A man phoned me at 2.00 am. He wanted something from me. I was afraid.
neutral, Yes . 
anger,When I got to know about the reaction of a friend of mine in a certain situation.  I had not expected him to react that way.
neutral," ok , we will . How do you get around in the evenings ? "
joy,We are very happy that the Volkswagen Tour has enabled us to welcome this renowned orchestra to the Festival for the first time . 
neutral, My boyfriend says I work too much . That I spend more time with you than with him . 
anger," If you do this again , don't even bother coming home . "
sadness,Ok now im scared. . . Im the only one up in my house. . . I guess im going to sleep. . 
neutral, Fine too . 
anger,I had planned to go to town with my friend at 1500 hours but she went for the registration and I waited for a good 1 and a 1/2 hours.  It was vital for me to go to town but I could not as it was she who had the money.  Finally I borrowed some money from friends and we went to town.  I was really angry with my friend.
sadness,Sometime back I used to stay with my mum alone then time came when dad joined the family from his working place I found myself having fear for him for no cause at all.
neutral, Yes . 
anger,Look at what you have done . All thumbs . 
anger,"I got into an argument with a photographer for whom I had to pose twelve times, over  a period of four weeks, before I could get a snap of mine.  Every time the film was processed my snap did not come out although the others did."
sadness,"A very close friend from Victoria visited me over the holidays. Having enjoyed his company immensely over 10 short days, I was overwhelmed by sadness when he left to return to Victoria "
neutral, A necklace ? 
joy,When I got first division in the exams before leaving school.
neutral,Hello ? 
anger,"And while she sounded sympathetic , she was in reality infuriated with Doreen . "
anger,Stephanie ! Did you just get to school ? But you were up and about when I left the dorm this morning ! That was about an hour and a half ago . This happens all the time ! Why do you always take so long 
anger,I can't stand being with you any more . I'm sick of your drinking . 
joy,"My boyfriend and I were getting dressed up and putting make-up on to go to a Halloween Party. We were dressing up to be two mimes. It was very enjoyable and I thought we looked really good, it was an accomplishment. We were alone in his house."
anger,"Oh , my goodness . The traffic is crawling . "
sadness,"Far from experiencing simple gratitude , such children will most likely feel terribly torn and anxious when faced with their foster parents ' offer of affection . "
neutral, Yeah ? 
neutral, I ’ m sorry . I didn ’ t know that . 
neutral," Use the stairs , never the elevator . "
joy,For the first time in my life telling someone I loved them.
anger,"I told my boy friend not to park in a certain place because the car would ger towed away - he didn't listen and it was towed away. At that stage, our finances were below the poverty line & it cost us $10.00 - all the money we had to get us through that week (including rent)."
joy,And the overjoyed youngster was swept off her feet by her favourite royal . 
sadness,When I was told to attend an operation in theatre.
sadness,When I realized that I could not communicate properly with my closest friend.
neutral, I will . 
joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . "
sadness,She was getting agitated . 
neutral," Yeah , you ’ re a pretty big guy . I play goalie , myself . "
joy,"I had stayed for months without seeing mother because our holidays were short and my home is far. Some times, mother came to see me at school, I was very joyful, and I didn't want her to go."
neutral, A B plus . 
neutral," Me , too . "
anger,Sue gets cross about that . 
neutral, go ahead . 
sadness,When I found out that a person I went to school with had died in a car accident.
anger,I was told to do something I did not want to do.
anger,At the end of my holiday job I got less money than was due to me and nobody mentioned anything about that.
anger,A classmate damaged ma iron and tried to hide the damage.
joy,"In the end he had little real choice but to join in and , if not exactly enjoy it , at least to take comfort in her gratification . "
anger,"My grandmother is a highly authoritative person, who lives alone, is independent, but doesn't know to live without commanding the others. I hate this!"
sadness,We had to finish the life of our 8 year-old dog.
neutral, Bye . 
sadness,"Small children of two or three tend to be alarmed at a banana-skin fall , not amused yet . "
joy,"I was happy when at difficult times I could find support in my friend and my fiance, I was happy because of their spiritual and moral help which gave me new power to struggle. I was happy then, I felt it in my soul."
anger,His parents were furious over the engagement business . 
anger, I really don't think it's any of your business . 
joy,"I made the college entrance examinations for P.U.C. It was what I wanted more. When the first list came out I got frustrated. I wasn't in. When the second list came out without hopes I started to read the newspaper and my name was thre. I was in the bus and felt like crying so that everybody could hear me. The cry was hold, and 1982 became forever a mask in my life."
